,movie,year,imdb,metascore,votes
1041,Straight Outta Compton,(2015),7.8,72,175221
1042,Jupiter Ascending,(2015),5.3,40,174890
1043,Tomorrowland,(2015),6.4,60,168902
1044,Black Mass,(2015),6.9,68,163893
1045,The Danish Girl,(2015),7.1,66,158547
1046,Cinderella,(I) (2015),6.9,67,154554
1047,Legend,(I) (2015),6.9,55,152480
1048,The Age of Adaline,(2015),7.2,51,149661
1049,Steve Jobs,(2015),7.2,82,149360
1050,Fantastic Four,(2015),4.3,27,148232
1051,Mad Max: Fury Road,(2015),8.1,90,849531
1052,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,841976
1053,The Martian,(2015),8.0,80,735979
1054,Avengers: Age of Ultron,(2015),7.3,66,718450
1055,The Revenant,(2015),8.0,76,679910
1056,Inside Out,(I) (2015),8.1,94,587964
1057,Jurassic World,(2015),7.0,59,566830
1058,Ant-Man,(2015),7.3,64,549901
1059,The Hateful Eight,(2015),7.8,68,494782
1060,Spotlight,(I) (2015),8.1,93,402702
1061,Spectre,(I) (2015),6.8,60,374465
1062,Sicario,(2015),7.6,82,357593
1063,Room,(I) (2015),8.1,86,353519
1064,Furious 7,(2015),7.1,67,351981
1065,The Big Short,(2015),7.8,81,345432
1066,Mission: Impossible - Rogue Nation,(2015),7.4,75,332590
1067,Fifty Shades of Grey,(2015),4.1,46,292080
1068,Bridge of Spies,(2015),7.6,81,279498
1069,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,275274
1070,The Man from U.N.C.L.E.,(2015),7.3,56,260265
1071,Terminator Genisys,(2015),6.3,38,253429
1072,Creed,(II) (2015),7.6,82,240506
1073,Chappie,(2015),6.8,41,224957
1074,Spy,(2015),7.0,75,224898
1075,Maze Runner: The Scorch Trials,(2015),6.3,43,214841
1076,Southpaw,(2015),7.4,57,212030
1077,The Divergent Series: Insurgent,(2015),6.2,42,211757
1078,Focus,(II) (2015),6.6,56,210733
1079,The Intern,(I) (2015),7.1,51,210686
1080,The Lobster,(2015),7.2,82,207888
1081,Minions,(2015),6.4,56,206704
1082,San Andreas,(2015),6.0,43,206153
1083,Everest,(2015),7.1,64,191877
1084,The Witch,(2015),6.9,83,186434
1085,Ted 2,(2015),6.3,48,179145
1086,Straight Outta Compton,(2015),7.8,72,175221
1087,Jupiter Ascending,(2015),5.3,40,174890
1088,Tomorrowland,(2015),6.4,60,168902
1089,Black Mass,(2015),6.9,68,163893
1090,The Danish Girl,(2015),7.1,66,158547
1091,Cinderella,(I) (2015),6.9,67,154554
1092,Legend,(I) (2015),6.9,55,152480
1093,The Age of Adaline,(2015),7.2,51,149661
1094,Steve Jobs,(2015),7.2,82,149360
1095,Fantastic Four,(2015),4.3,27,148232
1096,Deadpool,(2016),8.0,65,877108
1097,Captain America: Civil War,(2016),7.8,75,639744
1098,Batman v Superman: Dawn of Justice,(2016),6.4,44,608822
1099,Suicide Squad,(2016),6.0,40,582659
1100,Doctor Strange,(2016),7.5,72,574161
1101,Arrival,(II) (2016),7.9,81,570780
1102,Rogue One: A Star Wars Story,(2016),7.8,65,535211
1103,La La Land,(2016),8.0,94,483880
1104,Zootopia,(2016),8.0,78,417932
1105,Hacksaw Ridge,(2016),8.1,71,413934
1106,Split,(IX) (2016),7.3,62,405200
1107,Fantastic Beasts and Where to Find Them,(2016),7.3,66,395881
1108,X-Men: Apocalypse,(2016),6.9,52,382273
1109,Passengers,(I) (2016),7.0,41,337852
1110,10 Cloverfield Lane,(2016),7.2,76,281364
1111,The Nice Guys,(2016),7.4,70,267240
1112,Moonlight,(I) (2016),7.4,99,260750
1113,Moana,(I) (2016),7.6,81,257338
1114,The Jungle Book,(2016),7.4,77,253854
1115,The Accountant,(2016),7.3,51,251806
1116,Now You See Me 2,(2016),6.5,46,238780
1117,Warcraft,(2016),6.8,32,237216
1118,Manchester by the Sea,(2016),7.8,96,236444
1119,Finding Dory,(2016),7.3,77,231855
1120,Sully,(2016),7.4,74,227409
1121,Nocturnal Animals,(2016),7.5,67,227306
1122,Star Trek Beyond,(2016),7.1,68,221899
1123,The Conjuring 2,(2016),7.3,65,216243
1124,Don't Breathe,(2016),7.1,71,210251
