,movie,year,imdb,metascore,votes
1335,The Shape of Water,(2017),7.3,87,354434
1336,John Wick: Chapter 2,(2017),7.5,75,348314
1337,Coco,(I) (2017),8.4,81,346512
1338,Jumanji: Welcome to the Jungle,(2017),6.9,58,305162
1339,Beauty and the Beast,(I) (2017),7.1,65,261821
1340,Kong: Skull Island,(2017),6.6,62,260191
1341,Kingsman: The Golden Circle,(2017),6.7,44,259525
1342,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,252294
1343,Alien: Covenant,(2017),6.4,65,246325
1344,Lady Bird,(2017),7.4,94,225123
1345,The Greatest Showman,(2017),7.6,48,223126
1346,War for the Planet of the Apes,(2017),7.4,82,220475
1347,Murder on the Orient Express,(2017),6.5,52,200822
1348,Life,(I) (2017),6.6,54,200214
1349,The Fate of the Furious,(2017),6.7,56,197915
1350,Call Me by Your Name,(2017),7.9,93,196181
1351,Wind River,(2017),7.7,73,193490
1352,Ghost in the Shell,(2017),6.3,52,190494
1353,King Arthur: Legend of the Sword,(2017),6.7,41,185646
1354,Mother!,(2017),6.6,75,182526
1355,The Hitman's Bodyguard,(2017),6.9,47,179394
1356,"I, Tonya",(2017),7.5,77,171180
1357,Atomic Blonde,(2017),6.7,63,169100
1358,The Mummy,(2017),5.4,34,167997
1359,Darkest Hour,(2017),7.4,75,163632
1360,Bright,(I) (2017),6.3,29,163258
1361,Valerian and the City of a Thousand Planets,(2017),6.5,51,156210
1362,Baywatch,(2017),5.5,37,154815
1363,American Made,(2017),7.2,65,151986
1364,Logan,(2017),8.1,77,622306
1365,Thor: Ragnarok,(2017),7.9,74,558909
1366,Guardians of the Galaxy Vol. 2,(2017),7.6,67,545388
1367,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,544126
1368,Wonder Woman,(2017),7.4,76,531968
1369,Dunkirk,(2017),7.9,94,524274
1370,Spider-Man: Homecoming,(2017),7.4,73,489766
1371,Get Out,(I) (2017),7.7,85,466732
1372,It,(I) (2017),7.3,69,438591
1373,Blade Runner 2049,(2017),8.0,81,435976
1374,Baby Driver,(2017),7.6,86,417348
1375,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,405413
1376,Justice League,(2017),6.4,45,367660
1377,The Shape of Water,(2017),7.3,87,354434
1378,John Wick: Chapter 2,(2017),7.5,75,348314
1379,Coco,(I) (2017),8.4,81,346512
1380,Jumanji: Welcome to the Jungle,(2017),6.9,58,305162
1381,Beauty and the Beast,(I) (2017),7.1,65,261821
1382,Kong: Skull Island,(2017),6.6,62,260191
1383,Kingsman: The Golden Circle,(2017),6.7,44,259525
1384,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,252294
1385,Alien: Covenant,(2017),6.4,65,246325
1386,Lady Bird,(2017),7.4,94,225123
1387,The Greatest Showman,(2017),7.6,48,223126
1388,War for the Planet of the Apes,(2017),7.4,82,220475
1389,Murder on the Orient Express,(2017),6.5,52,200822
1390,Life,(I) (2017),6.6,54,200214
1391,The Fate of the Furious,(2017),6.7,56,197915
1392,Call Me by Your Name,(2017),7.9,93,196181
1393,Wind River,(2017),7.7,73,193490
1394,Ghost in the Shell,(2017),6.3,52,190494
1395,King Arthur: Legend of the Sword,(2017),6.7,41,185646
1396,Mother!,(2017),6.6,75,182526
1397,The Hitman's Bodyguard,(2017),6.9,47,179394
1398,"I, Tonya",(2017),7.5,77,171180
1399,Atomic Blonde,(2017),6.7,63,169100
1400,The Mummy,(2017),5.4,34,167997
1401,Darkest Hour,(2017),7.4,75,163632
1402,Bright,(I) (2017),6.3,29,163258
1403,Valerian and the City of a Thousand Planets,(2017),6.5,51,156210
1404,Baywatch,(2017),5.5,37,154815
1405,American Made,(2017),7.2,65,151986
1406,Logan,(2017),8.1,77,622306
1407,Thor: Ragnarok,(2017),7.9,74,558909
1408,Guardians of the Galaxy Vol. 2,(2017),7.6,67,545388
1409,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,544126
1410,Wonder Woman,(2017),7.4,76,531968
1411,Dunkirk,(2017),7.9,94,524274
1412,Spider-Man: Homecoming,(2017),7.4,73,489766
1413,Get Out,(I) (2017),7.7,85,466732
1414,It,(I) (2017),7.3,69,438591
1415,Blade Runner 2049,(2017),8.0,81,435976
1416,Baby Driver,(2017),7.6,86,417348
1417,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,405413
1418,Justice League,(2017),6.4,45,367660
1419,The Shape of Water,(2017),7.3,87,354434
1420,John Wick: Chapter 2,(2017),7.5,75,348314
1421,Coco,(I) (2017),8.4,81,346512
1422,Jumanji: Welcome to the Jungle,(2017),6.9,58,305162
1423,Beauty and the Beast,(I) (2017),7.1,65,261821
1424,Kong: Skull Island,(2017),6.6,62,260191
1425,Kingsman: The Golden Circle,(2017),6.7,44,259525
1426,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,252294
1427,Alien: Covenant,(2017),6.4,65,246325
1428,Lady Bird,(2017),7.4,94,225123
1429,The Greatest Showman,(2017),7.6,48,223126
1430,War for the Planet of the Apes,(2017),7.4,82,220475
1431,Murder on the Orient Express,(2017),6.5,52,200822
1432,Life,(I) (2017),6.6,54,200214
1433,The Fate of the Furious,(2017),6.7,56,197915
1434,Call Me by Your Name,(2017),7.9,93,196181
1435,Wind River,(2017),7.7,73,193490
1436,Ghost in the Shell,(2017),6.3,52,190494
1437,King Arthur: Legend of the Sword,(2017),6.7,41,185646
1438,Mother!,(2017),6.6,75,182526
1439,The Hitman's Bodyguard,(2017),6.9,47,179394
1440,"I, Tonya",(2017),7.5,77,171180
1441,Atomic Blonde,(2017),6.7,63,169100
1442,The Mummy,(2017),5.4,34,167997
1443,Darkest Hour,(2017),7.4,75,163632
1444,Bright,(I) (2017),6.3,29,163258
1445,Valerian and the City of a Thousand Planets,(2017),6.5,51,156210
1446,Baywatch,(2017),5.5,37,154815
1447,American Made,(2017),7.2,65,151986
1448,Avengers: Infinity War,(2018),8.4,68,787155
1449,Black Panther,(2018),7.3,88,588550
1450,Deadpool 2,(2018),7.7,66,456105
1451,Bohemian Rhapsody,(2018),8.0,49,429357
1452,A Quiet Place,(2018),7.5,82,386828
1453,Ready Player One,(2018),7.5,64,349886
1454,Aquaman,(2018),7.0,55,342940
1455,Venom,(2018),6.7,35,336952
1456,Green Book,(2018),8.2,69,334018
1457,Spider-Man: Into the Spider-Verse,(2018),8.4,87,328246
1458,A Star Is Born,(2018),7.7,88,314033
1459,Ant-Man and the Wasp,(2018),7.1,70,291639
1460,Mission: Impossible - Fallout,(2018),7.7,86,277507
1461,Solo: A Star Wars Story,(2018),6.9,62,274511
1462,Annihilation,(2018),6.9,79,268299
1463,Bird Box,(2018),6.6,51,263103
1464,Jurassic World: Fallen Kingdom,(2018),6.2,51,253598
1465,Incredibles 2,(2018),7.6,80,236822
1466,Hereditary,(2018),7.3,87,216254
1467,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,206283
1468,BlacKkKlansman,(2018),7.5,83,200257
1469,Game Night,(I) (2018),6.9,66,195305
1470,Tomb Raider,(2018),6.3,48,184133
1471,Ocean's 8,(2018),6.2,61,173784
1472,The Favourite,(2018),7.5,91,161333
1473,Red Sparrow,(2018),6.6,53,157788
1474,First Man,(2018),7.3,84,156302
1475,Upgrade,(2018),7.5,67,141658
1476,The Meg,(2018),5.7,46,140256
1477,Rampage,(2018),6.1,45,136346
1478,Roma,(2018),7.7,96,132922
1479,Isle of Dogs,(2018),7.9,82,131033
1480,Crazy Rich Asians,(2018),6.9,74,130322
1481,Bumblebee,(I) (2018),6.8,66,128453
1482,Searching,(III) (2018),7.6,71,127939
1483,The Equalizer 2,(2018),6.7,50,122432
1484,Ralph Breaks the Internet,(2018),7.1,71,122195
1485,Bad Times at the El Royale,(2018),7.1,60,121596
1486,Sicario: Day of the Soldado,(2018),7.1,61,117809
1487,A Simple Favor,(2018),6.8,67,116667
1488,The Ballad of Buster Scruggs,(2018),7.3,79,112920
1489,The Predator,(2018),5.4,48,111430
1490,Halloween,(I) (2018),6.6,67,110994
1491,Vice,(I) (2018),7.2,61,110784
1492,The Nun,(2018),5.3,46,110726
1493,Tag,(I) (2018),6.5,56,107005
1494,Avengers: Infinity War,(2018),8.4,68,787155
1495,Black Panther,(2018),7.3,88,588550
1496,Deadpool 2,(2018),7.7,66,456105
1497,Bohemian Rhapsody,(2018),8.0,49,429357
1498,A Quiet Place,(2018),7.5,82,386828
1499,Ready Player One,(2018),7.5,64,349886
1500,Aquaman,(2018),7.0,55,342940
1501,Venom,(2018),6.7,35,336952
1502,Green Book,(2018),8.2,69,334018
1503,Spider-Man: Into the Spider-Verse,(2018),8.4,87,328246
1504,A Star Is Born,(2018),7.7,88,314033
1505,Ant-Man and the Wasp,(2018),7.1,70,291639
1506,Mission: Impossible - Fallout,(2018),7.7,86,277507
1507,Solo: A Star Wars Story,(2018),6.9,62,274511
1508,Annihilation,(2018),6.9,79,268299
1509,Bird Box,(2018),6.6,51,263103
1510,Jurassic World: Fallen Kingdom,(2018),6.2,51,253598
1511,Incredibles 2,(2018),7.6,80,236822
1512,Hereditary,(2018),7.3,87,216254
1513,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,206283
1514,BlacKkKlansman,(2018),7.5,83,200257
1515,Game Night,(I) (2018),6.9,66,195305
1516,Tomb Raider,(2018),6.3,48,184133
1517,Ocean's 8,(2018),6.2,61,173784
1518,The Favourite,(2018),7.5,91,161333
1519,Red Sparrow,(2018),6.6,53,157788
1520,First Man,(2018),7.3,84,156302
1521,Upgrade,(2018),7.5,67,141658
1522,The Meg,(2018),5.7,46,140256
1523,Rampage,(2018),6.1,45,136346
1524,Roma,(2018),7.7,96,132922
1525,Isle of Dogs,(2018),7.9,82,131033
1526,Crazy Rich Asians,(2018),6.9,74,130322
1527,Bumblebee,(I) (2018),6.8,66,128453
1528,Searching,(III) (2018),7.6,71,127939
1529,The Equalizer 2,(2018),6.7,50,122432
1530,Ralph Breaks the Internet,(2018),7.1,71,122195
1531,Bad Times at the El Royale,(2018),7.1,60,121596
1532,Sicario: Day of the Soldado,(2018),7.1,61,117809
1533,A Simple Favor,(2018),6.8,67,116667
1534,The Ballad of Buster Scruggs,(2018),7.3,79,112920
1535,The Predator,(2018),5.4,48,111430
1536,Halloween,(I) (2018),6.6,67,110994
1537,Vice,(I) (2018),7.2,61,110784
1538,The Nun,(2018),5.3,46,110726
1539,Tag,(I) (2018),6.5,56,107005
1540,Avengers: Infinity War,(2018),8.4,68,787155
1541,Black Panther,(2018),7.3,88,588550
1542,Deadpool 2,(2018),7.7,66,456105
1543,Bohemian Rhapsody,(2018),8.0,49,429357
1544,A Quiet Place,(2018),7.5,82,386828
1545,Ready Player One,(2018),7.5,64,349886
1546,Aquaman,(2018),7.0,55,342940
1547,Venom,(2018),6.7,35,336952
1548,Green Book,(2018),8.2,69,334018
1549,Spider-Man: Into the Spider-Verse,(2018),8.4,87,328246
1550,A Star Is Born,(2018),7.7,88,314033
1551,Ant-Man and the Wasp,(2018),7.1,70,291639
1552,Mission: Impossible - Fallout,(2018),7.7,86,277507
1553,Solo: A Star Wars Story,(2018),6.9,62,274511
1554,Annihilation,(2018),6.9,79,268299
1555,Bird Box,(2018),6.6,51,263103
1556,Jurassic World: Fallen Kingdom,(2018),6.2,51,253598
1557,Incredibles 2,(2018),7.6,80,236822
1558,Hereditary,(2018),7.3,87,216254
1559,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,206283
1560,BlacKkKlansman,(2018),7.5,83,200257
1561,Game Night,(I) (2018),6.9,66,195305
1562,Tomb Raider,(2018),6.3,48,184133
1563,Ocean's 8,(2018),6.2,61,173784
1564,The Favourite,(2018),7.5,91,161333
1565,Red Sparrow,(2018),6.6,53,157788
1566,First Man,(2018),7.3,84,156302
1567,Upgrade,(2018),7.5,67,141658
1568,The Meg,(2018),5.7,46,140256
1569,Rampage,(2018),6.1,45,136346
1570,Roma,(2018),7.7,96,132922
1571,Isle of Dogs,(2018),7.9,82,131033
1572,Crazy Rich Asians,(2018),6.9,74,130322
1573,Bumblebee,(I) (2018),6.8,66,128453
1574,Searching,(III) (2018),7.6,71,127939
1575,The Equalizer 2,(2018),6.7,50,122432
1576,Ralph Breaks the Internet,(2018),7.1,71,122195
1577,Bad Times at the El Royale,(2018),7.1,60,121596
1578,Sicario: Day of the Soldado,(2018),7.1,61,117809
1579,A Simple Favor,(2018),6.8,67,116667
1580,The Ballad of Buster Scruggs,(2018),7.3,79,112920
1581,The Predator,(2018),5.4,48,111430
1582,Halloween,(I) (2018),6.6,67,110994
1583,Vice,(I) (2018),7.2,61,110784
1584,The Nun,(2018),5.3,46,110726
1585,Tag,(I) (2018),6.5,56,107005
1586,Avengers: Infinity War,(2018),8.4,68,787155
1587,Black Panther,(2018),7.3,88,588550
1588,Deadpool 2,(2018),7.7,66,456105
1589,Bohemian Rhapsody,(2018),8.0,49,429357
1590,A Quiet Place,(2018),7.5,82,386828
1591,Ready Player One,(2018),7.5,64,349886
1592,Aquaman,(2018),7.0,55,342940
1593,Venom,(2018),6.7,35,336952
1594,Green Book,(2018),8.2,69,334018
1595,Spider-Man: Into the Spider-Verse,(2018),8.4,87,328246
1596,A Star Is Born,(2018),7.7,88,314033
1597,Ant-Man and the Wasp,(2018),7.1,70,291639
1598,Mission: Impossible - Fallout,(2018),7.7,86,277507
1599,Solo: A Star Wars Story,(2018),6.9,62,274511
1600,Annihilation,(2018),6.9,79,268299
1601,Bird Box,(2018),6.6,51,263103
1602,Jurassic World: Fallen Kingdom,(2018),6.2,51,253598
1603,Incredibles 2,(2018),7.6,80,236822
1604,Hereditary,(2018),7.3,87,216254
1605,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,206283
1606,BlacKkKlansman,(2018),7.5,83,200257
1607,Game Night,(I) (2018),6.9,66,195305
1608,Tomb Raider,(2018),6.3,48,184133
1609,Ocean's 8,(2018),6.2,61,173784
1610,The Favourite,(2018),7.5,91,161333
1611,Red Sparrow,(2018),6.6,53,157788
1612,First Man,(2018),7.3,84,156302
1613,Upgrade,(2018),7.5,67,141658
1614,The Meg,(2018),5.7,46,140256
1615,Rampage,(2018),6.1,45,136346
1616,Roma,(2018),7.7,96,132922
1617,Isle of Dogs,(2018),7.9,82,131033
1618,Crazy Rich Asians,(2018),6.9,74,130322
1619,Bumblebee,(I) (2018),6.8,66,128453
1620,Searching,(III) (2018),7.6,71,127939
1621,The Equalizer 2,(2018),6.7,50,122432
1622,Ralph Breaks the Internet,(2018),7.1,71,122195
1623,Bad Times at the El Royale,(2018),7.1,60,121596
1624,Sicario: Day of the Soldado,(2018),7.1,61,117809
1625,A Simple Favor,(2018),6.8,67,116667
1626,The Ballad of Buster Scruggs,(2018),7.3,79,112920
1627,The Predator,(2018),5.4,48,111430
1628,Halloween,(I) (2018),6.6,67,110994
1629,Vice,(I) (2018),7.2,61,110784
1630,The Nun,(2018),5.3,46,110726
1631,Tag,(I) (2018),6.5,56,107005
1632,Joker,(2019),8.5,59,827774
1633,Avengers: Endgame,(2019),8.4,78,739568
1634,Once Upon a Time... in Hollywood,(2019),7.7,83,491737
1635,Parasite,(2019),8.6,96,447578
1636,Captain Marvel,(2019),6.9,64,418003
1637,Knives Out,(2019),7.9,82,347815
1638,1917,(2019),8.3,78,344156
1639,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.7,53,339634
1640,Spider-Man: Far from Home,(2019),7.5,69,298847
1641,The Irishman,(2019),7.9,94,298440
1642,John Wick: Chapter 3 - Parabellum,(2019),7.5,73,252992
1643,Jojo Rabbit,(2019),7.9,58,237346
1644,Shazam!,(2019),7.1,71,236602
1645,Ford v Ferrari,(2019),8.1,81,236054
1646,Marriage Story,(2019),8.0,94,221155
1647,Alita: Battle Angel,(2019),7.3,53,213594
1648,Aladdin,(2019),7.0,53,211425
1649,Us,(II) (2019),6.9,81,205691
1650,The Lion King,(2019),6.9,55,196139
1651,Glass,(2019),6.7,43,195146
1652,Uncut Gems,(2019),7.4,90,189731
1653,It Chapter Two,(2019),6.6,58,185698
1654,Toy Story 4,(2019),7.8,84,185346
1655,Ad Astra,(2019),6.6,80,177296
1656,El Camino: A Breaking Bad Movie,(2019),7.3,72,168738
1657,Midsommar,(2019),7.1,72,167508
1658,The Gentlemen,(2019),7.9,51,161928
1659,Jumanji: The Next Level,(2019),6.7,58,158385
1660,Fast & Furious Presents: Hobbs & Shaw,(2019),6.4,60,155589
1661,X-Men: Dark Phoenix,(2019),5.8,43,142784
1662,The Platform,(2019),7.0,73,137621
1663,Pokémon Detective Pikachu,(2019),6.6,53,128150
1664,Terminator: Dark Fate,(2019),6.3,54,126434
1665,6 Underground,(2019),6.1,41,125781
1666,Godzilla: King of the Monsters,(2019),6.0,48,122773
1667,Rocketman,(I) (2019),7.3,69,121307
1668,Frozen II,(2019),6.9,64,117608
1669,Zombieland: Double Tap,(2019),6.7,55,117380
1670,Little Women,(2019),7.9,91,115334
1671,Joker,(2019),8.5,59,827774
1672,Avengers: Endgame,(2019),8.4,78,739568
1673,Once Upon a Time... in Hollywood,(2019),7.7,83,491737
1674,Parasite,(2019),8.6,96,447578
1675,Captain Marvel,(2019),6.9,64,418003
1676,Knives Out,(2019),7.9,82,347815
1677,1917,(2019),8.3,78,344156
1678,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.7,53,339634
1679,Spider-Man: Far from Home,(2019),7.5,69,298847
1680,The Irishman,(2019),7.9,94,298440
1681,John Wick: Chapter 3 - Parabellum,(2019),7.5,73,252992
1682,Jojo Rabbit,(2019),7.9,58,237346
1683,Shazam!,(2019),7.1,71,236602
1684,Ford v Ferrari,(2019),8.1,81,236054
1685,Marriage Story,(2019),8.0,94,221155
1686,Alita: Battle Angel,(2019),7.3,53,213594
1687,Aladdin,(2019),7.0,53,211425
1688,Us,(II) (2019),6.9,81,205691
1689,The Lion King,(2019),6.9,55,196139
1690,Glass,(2019),6.7,43,195146
1691,Uncut Gems,(2019),7.4,90,189731
1692,It Chapter Two,(2019),6.6,58,185698
1693,Toy Story 4,(2019),7.8,84,185346
1694,Ad Astra,(2019),6.6,80,177296
1695,El Camino: A Breaking Bad Movie,(2019),7.3,72,168738
1696,Midsommar,(2019),7.1,72,167508
1697,The Gentlemen,(2019),7.9,51,161928
1698,Jumanji: The Next Level,(2019),6.7,58,158385
1699,Fast & Furious Presents: Hobbs & Shaw,(2019),6.4,60,155589
1700,X-Men: Dark Phoenix,(2019),5.8,43,142784
1701,The Platform,(2019),7.0,73,137621
1702,Pokémon Detective Pikachu,(2019),6.6,53,128150
1703,Terminator: Dark Fate,(2019),6.3,54,126434
1704,6 Underground,(2019),6.1,41,125781
1705,Godzilla: King of the Monsters,(2019),6.0,48,122773
1706,Rocketman,(I) (2019),7.3,69,121307
1707,Frozen II,(2019),6.9,64,117608
1708,Zombieland: Double Tap,(2019),6.7,55,117380
1709,Little Women,(2019),7.9,91,115334
1710,Joker,(2019),8.5,59,827774
1711,Avengers: Endgame,(2019),8.4,78,739568
1712,Once Upon a Time... in Hollywood,(2019),7.7,83,491737
1713,Parasite,(2019),8.6,96,447578
1714,Captain Marvel,(2019),6.9,64,418003
1715,Knives Out,(2019),7.9,82,347815
1716,1917,(2019),8.3,78,344156
1717,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.7,53,339634
1718,Spider-Man: Far from Home,(2019),7.5,69,298847
1719,The Irishman,(2019),7.9,94,298440
1720,John Wick: Chapter 3 - Parabellum,(2019),7.5,73,252992
1721,Jojo Rabbit,(2019),7.9,58,237346
1722,Shazam!,(2019),7.1,71,236602
1723,Ford v Ferrari,(2019),8.1,81,236054
1724,Marriage Story,(2019),8.0,94,221155
1725,Alita: Battle Angel,(2019),7.3,53,213594
1726,Aladdin,(2019),7.0,53,211425
1727,Us,(II) (2019),6.9,81,205691
1728,The Lion King,(2019),6.9,55,196139
1729,Glass,(2019),6.7,43,195146
1730,Uncut Gems,(2019),7.4,90,189731
1731,It Chapter Two,(2019),6.6,58,185698
1732,Toy Story 4,(2019),7.8,84,185346
1733,Ad Astra,(2019),6.6,80,177296
1734,El Camino: A Breaking Bad Movie,(2019),7.3,72,168738
1735,Midsommar,(2019),7.1,72,167508
1736,The Gentlemen,(2019),7.9,51,161928
1737,Jumanji: The Next Level,(2019),6.7,58,158385
1738,Fast & Furious Presents: Hobbs & Shaw,(2019),6.4,60,155589
1739,X-Men: Dark Phoenix,(2019),5.8,43,142784
1740,The Platform,(2019),7.0,73,137621
1741,Pokémon Detective Pikachu,(2019),6.6,53,128150
1742,Terminator: Dark Fate,(2019),6.3,54,126434
1743,6 Underground,(2019),6.1,41,125781
1744,Godzilla: King of the Monsters,(2019),6.0,48,122773
1745,Rocketman,(I) (2019),7.3,69,121307
1746,Frozen II,(2019),6.9,64,117608
1747,Zombieland: Double Tap,(2019),6.7,55,117380
1748,Little Women,(2019),7.9,91,115334
1749,Joker,(2019),8.5,59,827774
1750,Avengers: Endgame,(2019),8.4,78,739568
1751,Once Upon a Time... in Hollywood,(2019),7.7,83,491737
1752,Parasite,(2019),8.6,96,447578
1753,Captain Marvel,(2019),6.9,64,418003
1754,Knives Out,(2019),7.9,82,347815
1755,1917,(2019),8.3,78,344156
1756,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.7,53,339634
1757,Spider-Man: Far from Home,(2019),7.5,69,298847
1758,The Irishman,(2019),7.9,94,298440
1759,John Wick: Chapter 3 - Parabellum,(2019),7.5,73,252992
1760,Jojo Rabbit,(2019),7.9,58,237346
1761,Shazam!,(2019),7.1,71,236602
1762,Ford v Ferrari,(2019),8.1,81,236054
1763,Marriage Story,(2019),8.0,94,221155
1764,Alita: Battle Angel,(2019),7.3,53,213594
1765,Aladdin,(2019),7.0,53,211425
1766,Us,(II) (2019),6.9,81,205691
1767,The Lion King,(2019),6.9,55,196139
1768,Glass,(2019),6.7,43,195146
1769,Uncut Gems,(2019),7.4,90,189731
1770,It Chapter Two,(2019),6.6,58,185698
1771,Toy Story 4,(2019),7.8,84,185346
1772,Ad Astra,(2019),6.6,80,177296
1773,El Camino: A Breaking Bad Movie,(2019),7.3,72,168738
1774,Midsommar,(2019),7.1,72,167508
1775,The Gentlemen,(2019),7.9,51,161928
1776,Jumanji: The Next Level,(2019),6.7,58,158385
1777,Fast & Furious Presents: Hobbs & Shaw,(2019),6.4,60,155589
1778,X-Men: Dark Phoenix,(2019),5.8,43,142784
1779,The Platform,(2019),7.0,73,137621
1780,Pokémon Detective Pikachu,(2019),6.6,53,128150
1781,Terminator: Dark Fate,(2019),6.3,54,126434
1782,6 Underground,(2019),6.1,41,125781
1783,Godzilla: King of the Monsters,(2019),6.0,48,122773
1784,Rocketman,(I) (2019),7.3,69,121307
1785,Frozen II,(2019),6.9,64,117608
1786,Zombieland: Double Tap,(2019),6.7,55,117380
1787,Little Women,(2019),7.9,91,115334
